"","x"
"1","Macy’s Inc $M Position Raised by AQR Capital Management LLC https://t.co/gMRUA70cbu"
"2","Macy’s Inc $M Position Raised by AQR Capital Management LLC https://t.co/SpSqEkuxy6"
"3","Tommy Hilfiger turns to technology and social media as Macy’s struggles https://t.co/QAAw1a6LBo https://t.co/8lQDcFi5RB"
"4","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"5","I just added this to my closet on Poshmark: Maison Jules cropped cardigan s Macy's. https://t.co/c1wqNYv47m via @poshmarkapp #shopmycloset"
"6","When a pic of your lunch turns into a mini photo shoot of your new Frye booties that you got from Macy's... <ed><U+00A0><U+00BD><ed><U+00B2><U+0081> #macys https://t.co/0yoCPdVxiL"
"7","*HOT* Estee Lauder Spring Gift with Purchase at Macy’s and SURPRISE! Free Full Size… https://t.co/2lx9SGfgf3 https://t.co/pHCzqfIABy"
"8","Macy's: Still Worth $125 Per Share? https://t.co/XRopcpD8mc $AMZN $JCP $TJX $M"
"9","They offered me water at Macy's lmfao WATER AT MACYS ni me pelan cuando voy con mis leggings y mi shirt"
"10","LIMITED TIME! Designer Purses and Wallets $19.99 Or LESS At Macy's! (Was $99.50) - https://t.co/SeAX6wIwOn https://t.co/UfpX6oRfPM"
"11","Could Macy's possibly have a new owner in Hudson's Bay, the owner of Lord and Taylor? https://t.co/vTSpixCw8O"
"12","Men's Cold-Weather Accessories at Macy's for $10 + free s&amp;h w/beauty item - https://t.co/DSqReDVR29"
"13","Venta Vendo 120$ Gift Card de Macy's o Target https://t.co/oMQEN5j7YO  #ganardinero"
"14","In celebration of Macy’s Grand Opening at Fashion Place, join us for Charity Shopping Day on March 10-11th.… https://t.co/JQdphcCg69"
"15","""Macy's, Sears, &amp; JCPenney Closing 250+ Stores: Don't Ignore the Elephant in the Room"" https://t.co/E33Ql2tNXE on @LinkedIn - #Marketing"
"16","""Macy's, Sears, &amp; JCPenney Closing 250+ Stores: Don't Ignore the Elephant in the Room"" https://t.co/ORXc4rvRuA on @LinkedIn"
"17","RT @PioneerPress: New name for old St. Paul Macy’s: Treasure Island Center https://t.co/nvQ27gM0UC https://t.co/JLMfyMXufU"
"18","Macy’s: $9.98 Men’s Under Armour Slide #Sandals + More! ($22 Value) https://t.co/EFkLhI8dPi #deals #fashion #macys"
"19","Macy’s: $9.98 M ... - https://t.co/Qm7etydGd6 #Fashion #Macys #MensFashion #Shoes #SlideSandals #Dea https://t.co/6d59m0SwMK"
"20","RT @PioneerPress: New name for old St. Paul Macy’s: Treasure Island Center https://t.co/nvQ27gM0UC https://t.co/JLMfyMXufU"
"21","New name for old St. Paul Macy’s: Treasure Island Center https://t.co/nvQ27gM0UC https://t.co/JLMfyMXufU"
"22","Macy's may be bought by owner of Saks and Lord &amp; Taylor &gt; https://t.co/HFas3Ze0EK #retail #advertising"
"23","Macy's may be bought by owner of Saks and Lord &amp; Taylor &gt; https://t.co/6Yuk3m6FAm #retail #advertising"
"24","This #job might be a great fit for you: Macy's Willow Grove Park Mall: Sales Supervisor - https://t.co/LGvIIwKY7r #Retail #WillowGrove, PA"
"25","If you're looking for work in #Duluth, GA, check out this #job: https://t.co/fCDnteQt3z #Retail #Hiring #CareerArc"
"26","@Macys #HeraldSquare is stocked! <U+2615><U+FE0F> #NewYork @ Macy's https://t.co/6FnCukGFbx"
"27","This #job might be a great fit for you: Asset Protection / Loss Prevention Security Guard, Part Time:... - https://t.co/dntPvpDy65 #Finance"
