"","x"
"1","RT @conserv_tribune: Trump’s INCREDIBLE Tribute to Fallen SEAL Steals the Show at Speech to Congress https://t.co/zaQsqYtfHz https://t.co/Q…"
"2","RT @nytimes: Trump stuck to the script, and GOP orthodoxy, in a speech to Congress that laid out a broad agenda but few specifics https://t…"
"3","RT @Complex: Colbert on Trump's speech: ""Any chance there's a mistake and 'Moonlight' is the president?"" https://t.co/c64sYXNkuc https://t.…"
"4","RT @politico: Schumer tries to throw cold water on Trump's rave reviews https://t.co/1FDGR5Ypt4"
"5","RT @politicususa: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/0lTUUkhC…"
"6","RT @mcspocky: President Trump's Speech to Congress Kept Referencing Death https://t.co/UENT9D6rfJ https://t.co/LsWfDQB2Gq"
"7","RT @SopanDeb: .@GlennThrush w/ great point. If Trump was truly now in favor of immig reform, wouldn't he have said so last night?
https://t…"
"8","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"9","Donald Trump’s US Congress speech: A fact check https://t.co/j6JzjT4sr2 https://t.co/rn18B11PFS"
"10","RT @Fusion: There is no 'New Trump' –– Good ol' Trump's speech to Congress was full of ugly, dangerous lies about immigrants: https://t.co/…"
"11","RT @aerdt: When you fact-check Donald #Trump's latest speech, you find that even the technically true parts aren't really true 
https://t.c…"
"12","RT @CNN: Van Jones on Trump: 'He became President of the United States in that moment, period' https://t.co/PkQV7RhnCO"
"13","Poll finds 78 per cent reacted positively to Trump's Congress address
 https://t.co/T2Xw125kBV"
"14","RT @docrocktex26: Trump tanks first speech to Congress https://t.co/Svi47yfkq1 via @owillis"
"15","RT @TheAtlantic: .@DavidFrum outlines the three failures of Trump's speech to Congress: https://t.co/UCmHqBfoMU https://t.co/zO8GCqLacu"
"16","RT @DailyMail: Snap poll finds 78 percent reacted positively to Trump's speech to Congress https://t.co/EvhdhA2L97"
"17","RT @japantimes: In speech to Congress, Trump urges military allies to do more — a demand Abe may welcome https://t.co/T87hjSJTUW https://t.…"
"18","RT @Sarek17015658: Donald Trump's Address to Congress: Live Analysis https://t.co/dq3AEXnR2v via @WSJ"
"19","Almost every big claim Donald Trump just made was false https://t.co/Ve52oBS5JQ"
"20","RT @Thomas1774Paine: VIDEO: Bitter Maxine Waters Boycotted President Trump’s speech to Congress: Busy Prepping for Russian Invasion? 
https…"
"21","In His Joint Congress Speech, Donald Trump Claimed He Inherited a Bad Economy, Despite, Y'know, Evidence https://t.co/Qv0JFJsum8"
"22","RT @ezraklein: The speech reaction shows how much the media still treats this as the Trump Show rather than the Trump Presidency: https://t…"
"23","RT @JasonMillerinDC: CBS News poll: Viewers strongly approve of Trump's speech to Congress - CBS News https://t.co/Jtqo5Ylt5f"
"24","RT @JasonMillerinDC: CBS News poll: Viewers strongly approve of Trump's speech to Congress - CBS News https://t.co/Jtqo5Ylt5f"
"25","BREAKING: Dow Over 21K After Trump's Speech | The Daily Caller https://t.co/W4nHPetHH1"
"26","'Presidential Trump': Here are the stories leading https://t.co/1dlU7Y08uM this morning https://t.co/POjS0piQzo https://t.co/7VcfWNNurH"
"27","RT @The_Trump_Train: RETWEET if you think President Trump is giving an excellent speech and valid points to congress! #JointAddress #MakeAm…"
