level1,level2
6.127,641.366
10.481,1757.491
13.014,2543.267
13.379,2527.191
12.860,2199.809
14.862,2772.461
10.223,1239.994
11.451,1472.818
11.800,1482.649
11.317,1294.652
8.428,682.556
6.209,352.618
2.633,60.414
1.740,25.180
1.349,14.463
1.067,8.644
0.833,5.045
0.640,2.847
0.489,1.593
1.366,5.858
5.288,21.511
0.254,13.380
0.262,11.390
0.310,0.525
0.399,22.839
0.529,1.425
0.702,2.414
0.920,4.010
1.204,6.626
1.515,10.138
1.848,14.580
2.189,19.792
2.524,25.485
2.831,31.054
3.121,36.565
3.376,41.489
3.601,45.767
3.779,48.926
3.901,50.598
3.970,50.902
3.997,50.144
3.960,47.827
3.915,45.463
3.812,41.937
3.716,38.776
3.581,35.057
3.425,31.229
3.290,28.078
3.114,24.509
2.960,21.589
2.815,19.032
2.648,16.431
2.490,14.173
2.373,12.571
2.255,11.082
2.120,9.561
1.983,8.173
1.892,7.271
1.789,6.356
1.709,5.671
1.602,4.872
1.514,4.259
1.423,3.681
1.363,3.304
1.266,2.787
1.189,2.410
1.114,2.071
1.035,34.750
0.961,12.477
0.906,1.287
0.832,1.064
